token,tsne_2_component_1,tsne_2_component_2,word_count
needs,-4.0750933,52.37927,1504
those,19.286173,34.775463,1504
days,65.71995,3.7961366,1503
via,70.817116,40.36903,1488
night,57.439472,5.4340687,1487
campaign,66.71115,14.431809,1482
times,69.88421,16.289541,1479
lindseygrahamsc,23.19768,54.177776,1467
crimes,21.549232,65.16627,1464
help,16.759972,53.502968,1457
forever,26.03119,58.218807,1456
iran,52.073513,32.486908,1454
democratic,70.91475,30.860186,1453
stop,9.82899,53.210697,1451
reason,1.2624097,44.218002,1449
romney,70.91883,27.228418,1448
both,3.1726737,59.27064,1432
give,9.014348,53.933445,1424
argument,21.620607,57.99566,1422
work,10.277017,54.3466,1420
report,60.85528,22.165726,1412
please,30.080526,40.200054,1394
real,7.627497,38.60901,1394
making,-9.743445,52.58071,1390
year,64.95925,3.9386475,1389
end,6.7216053,56.16685,1385
lawyer,69.2579,11.431424,1382
repmarkmeadows,39.284718,56.030018,1375
public,17.834864,51.149456,1375
video,46.564514,40.614,1369
removal,60.35628,3.9917605,1369
calling,75.31826,15.974866,1366
getting,74.55929,13.552765,1366
united,51.56382,46.64835,1364
look,40.679375,-15.9874115,1354
through,13.013868,48.74906,1351
leader,55.78352,54.04392,1350
left,44.58264,46.262676,1343
show,56.62775,13.546871,1338
until,-7.7823787,40.64215,1337
dbongino,39.652653,55.761906,1329
tell,7.3346624,52.414116,1326
russia,59.368053,26.645363,1317
try,11.219756,53.99725,1315
something,28.42494,50.81783,1314
investigation,58.020557,23.98337,1312
remove,4.2853928,55.841026,1312
thank,30.880274,39.94685,1302
neal_katyal,58.754944,-7.7230535,1294
anything,28.422478,50.798725,1289
everything,28.457169,50.652023,1286
glennkirschner,59.168118,-7.282013,1275
always,28.909235,41.180668,1270
calls,75.31383,15.991197,1269
point,41.96909,-16.40141,1269
enough,0.183379,43.141964,1267
come,9.589155,54.275726,1267
yes,32.130005,41.183933,1257
yet,-5.8567967,44.37176,1254
coronavirus,56.436325,39.49691,1251
hand,57.257515,41.937244,1243
everyone,31.321411,42.55418,1240
lev,58.048706,17.198906,1240
article,17.833736,60.862213,1236
far,45.390743,8.907171,1234
its,21.105864,52.901196,1225
voters,74.023895,20.26917,1219
asked,23.921207,44.37606,1216
part,43.4906,6.4522057,1215
actually,5.7074237,38.98255,1215
deal,53.746456,39.72112,1213
corruption,56.94042,23.534134,1211
starr,70.97359,12.024396,1211
tonight,57.473755,9.50129,1205
wh,63.203682,17.74705,1198
hearing,62.078003,0.9714601,1192
lies,48.9711,42.748463,1189
ago,65.884445,4.7717457,1186
former,62.036453,17.608278,1185
whistleblower,60.955803,25.57875,1184
moscowmitch,57.554493,54.080185,1175
hearings,62.731934,-0.06250733,1173
true,7.42059,45.11872,1171
teapainusa,58.003162,-7.921735,1171
tried,55.696083,41.33758,1167
watching,35.519836,51.48423,1165
mr,61.332317,15.442959,1164
elected,15.152689,52.547947,1163
sure,30.952799,41.450172,1161
wanted,-2.2092285,51.09848,1156
hope,28.584146,40.786312,1149
criminal,20.016415,63.922966,1140
knows,30.514423,41.73114,1133
fake,60.718914,10.018942,1130
rwpusa,58.062317,-7.1700335,1128
committee,63.894352,19.083447,1128
obstruction,25.288475,63.157585,1127
marklevinshow,42.127293,54.14889,1125
failed,40.25096,50.034977,1122
start,48.281013,-8.590278,1113
away,47.152863,-9.189479,1110
cannot,-5.002644,52.329514,1106
roberts,51.55314,51.724304,1100
took,54.161087,41.429974,1100
acquittal,26.827574,58.905605,1097
gopleader,39.37093,55.71593,1095
post,69.961395,16.220684,1094
acquitted,26.697166,59.004494,1091
things,45.51976,7.7093687,1091
gets,25.442408,42.78184,1086
lying,57.669407,33.29787,1084
three,65.61283,4.8460846,1083
speech,24.34875,67.99897,1077
agree,6.408886,51.14787,1076
inquiry,61.093235,21.947248,1075
security,66.17828,21.916834,1067
entire,31.420694,57.983006,1062
full,24.074173,59.01069,1056
wasn,2.506819,44.683243,1050
himself,29.961683,66.405914,1045
nation,16.312258,52.87511,1038
life,23.523655,56.097668,1034
bad,27.53332,41.660652,1034
oh,31.16535,41.245815,1031
money,55.765785,36.939075,1030
long,26.384975,49.78466,1024
big,60.62879,7.5567822,1022
once,39.071762,43.745125,1022
best,32.632614,59.21912,1022
repmattgaetz,39.247074,55.86438,1021
giuliani,57.919327,17.500906,1018
matter,9.826262,40.772133,1017
means,45.25443,30.824553,1016
used,29.996588,57.06815,1013
aid,57.109608,21.693808,1009
cover,-15.672491,52.51277,1007
thought,28.641298,42.463093,1006
lindsey,75.39306,24.618279,1001
makes,33.263874,63.75116,999
washington,69.97094,16.480637,993
mueller,59.496693,26.559774,991
crazy,32.40656,48.665318,988
joncoopertweets,59.35451,-6.0689225,981
hours,65.908394,3.9582899,978
talking,50.420185,-16.532974,977
donaldjtrumpjr,40.90482,55.28102,977
ken,70.97313,12.024118,975
rudygiuliani,41.467804,53.11214,965
pro,60.6915,53.28674,962
having,50.818146,-18.622387,960
reminder,36.838737,37.72305,957
coup,44.823128,51.45428,957
maddow,60.9756,-3.0945756,956
press,59.12732,11.120614,953
coming,44.80565,-22.638294,950
world,52.52513,41.85172,948
act,16.271606,56.95475,947
arguments,68.96344,8.909597,943
high,21.658028,65.08648,942
lost,-5.0735645,42.333138,938
attorney,65.95208,19.268536,936
pres,61.076138,-2.6555865,936
lied,55.43807,42.246113,934
constitutional,17.841513,59.615997,931
seanhannity,42.32439,54.02636,930
someone,32.654564,43.18877,927
hunter,68.52192,22.808893,924
might,-5.1800413,52.420692,924
record,51.366043,39.649258,922
hey,31.20036,40.55369,922
judge,60.879696,29.493414,920
ask,6.4206424,52.42077,915
plan,53.00067,38.909763,914
second,18.154976,61.577827,911
stand,-15.582137,53.2115,910
subpoena,-2.9546063,57.950073,909
government,17.218369,53.44112,908
susan,72.30897,26.486158,906
manager,72.033936,32.78324,905
amy_siskind,58.80815,-7.055136,902
weeks,65.721985,3.7787392,901
absolutely,43.993484,46.862263,900
voting,7.6973433,66.96708,895
talk,49.074543,-15.957184,895
face,14.511269,49.32181,892
dear,31.110174,39.850403,889
heard,-2.67659,45.116005,889
lie,48.9712,42.73006,889
allow,0.81367356,55.545563,886
single,-1.7969861,46.310265,886
using,20.226156,53.88811,885
rule,18.650328,57.817833,880
lot,11.575265,34.902153,879
live,60.211643,1.2731066,872
counsel,69.330666,11.296276,871
move,7.0617127,60.323593,870
better,-23.629444,41.84638,868
run,13.432701,54.08337,867
impeachable,20.55206,64.42066,867
phone,59.03463,14.789295,867
judiciary,63.880417,19.051508,866
guilty,4.6259437,43.60577,866
conduct,15.983414,58.66822,863
yesterday,62.925816,4.886495,861
whitehouse,39.215923,55.94874,859
chuck,48.045563,53.205196,858
general,65.91002,19.293312,857
senschumer,22.90399,54.17558,854
duty,15.637419,58.466347,853
whole,36.988453,51.38621,851
continue,-16.460491,53.73668,848
russian,57.79071,22.92114,842
important,67.85754,-2.4299011,841
allowed,-4.470214,48.861565,840
morning,59.48619,4.842721,840
exactly,27.73223,48.31049,839
democracy,16.295565,52.869175,838
shows,75.30781,20.008915,837
change,6.6166296,54.012463,837
thinks,11.031091,48.33118,836
whether,2.7593374,49.076366,836
impartial,6.730452,63.84432,829
months,65.743576,3.8505347,825
million,56.07559,35.2898,823
guy,32.61033,42.92056,820
mean,5.5944953,53.652145,819
dismiss,6.494527,60.37724,819
use,13.34983,53.993706,817
hard,6.456625,46.88614,817
started,-2.6437986,42.36711,817
looks,56.47428,-14.464111,815
win,13.1791,54.210274,813
love,29.306997,42.048016,813
federal,58.77391,21.157192,813
words,13.120903,60.06329,812
care,8.410633,50.172813,808
seen,-2.830881,45.10856,807
putin,54.18798,-2.25319,807
key,-2.1171575,56.604286,806
such,-9.110583,47.197178,805
letter,62.196953,18.687788,801
top,61.931194,19.646446,801
congressional,28.968805,58.384068,801
working,28.975988,53.955353,799
knew,-0.69898075,50.443882,798
less,-23.609663,41.892147,794
else,27.068869,48.05939,793
including,64.134865,35.891888,790
repandybiggsaz,39.229507,55.92946,790
charges,7.4299426,61.095276,789
gopchairwoman,39.189156,55.943996,785
threat,16.78163,50.26581,780
committed,20.94867,64.50244,777
alan,37.388676,62.977974,775
mmpadellan,57.88036,-6.9805775,775
members,69.42003,30.431168,767
military,52.817646,42.699352,767
taking,43.788666,-23.193539,766
tomorrow,56.899937,5.3222227,764
protect,13.664289,56.886757,758
wouldn,-5.0588675,52.372383,753
aren,0.5412883,50.7292,749
official,62.803684,22.95755,745
billkristol,58.967003,-7.7442694,743
presidential,53.952396,43.55029,742
running,27.35479,62.134487,741
become,-4.330015,44.814747,741
rudy,57.809254,17.346596,740
alexander,71.672966,26.088554,739
twitter,46.9071,41.054375,739
information,60.85891,47.67051,738
therickwilson,57.000156,-8.145202,738
wait,10.023529,55.92583,737
presidents,19.503984,58.25296,737
story,59.24528,7.7314544,736
claim,57.495453,46.378143,734
tweet,32.242493,38.562675,733
goes,54.618484,-16.229885,733
maybe,29.91033,42.057274,732
wow,46.986168,28.523983,731
totally,47.53384,48.92392,726
impotus,32.441746,40.246086,725
find,9.69196,53.95257,722
holding,3.8191864,59.965744,721
thread,65.11868,10.849102,718
foxnews,54.525234,11.21124,716
moment,44.19561,-16.741213,715
imagine,21.451805,46.24931,710
held,-14.816208,51.98681,710
book,62.940323,16.540815,708
person,16.492981,57.766098,708
sent,4.3706083,59.970997,708
acquit,4.3397408,55.638805,707
jerry,71.298836,33.446804,707
