token,umap_2_component_1,umap_2_component_2,word_count
well,-2.2505617,11.970366,1847
great,-1.2395359,12.388614,1845
saying,-2.3172138,11.572791,1833
read,-1.8853191,12.304133,1828
much,-2.1006303,11.553426,1809
done,-2.054895,10.991124,1801
called,-0.57167125,12.320057,1799
oath,-1.3068793,11.393578,1798
majority,-1.104686,13.258067,1783
am,-1.7458192,10.646307,1779
kylegriffin,-3.0605898,13.396314,1776
own,-1.4327439,10.964945,1774
keep,-1.1300967,10.640137,1767
isn,-2.0458972,10.974363,1765
may,-1.5033745,10.251614,1748
testimony,-0.6778567,11.544584,1744
fox,-0.69743073,12.759897,1739
cnn,-0.7980613,12.832569,1738
hear,-1.4177358,10.917362,1731
truth,-2.1263733,11.765952,1728
man,-1.3233396,11.648023,1719
funder,-3.2992795,13.218921,1702
where,-1.2686013,11.573557,1688
same,-2.456103,10.708817,1687
without,-1.7239017,10.907475,1686
corrupt,-1.1263309,11.6719,1680
job,-1.5744315,11.142357,1680
too,-2.1515567,11.80624,1678
put,-1.2956647,10.49643,1649
court,-0.60941935,11.871772,1636
under,-0.6890645,11.891338,1631
next,-1.866597,11.977366,1631
removed,-0.88257307,13.037206,1608
chief,-0.93909305,12.028545,1606
remember,-1.8549882,11.2674885,1606
dershowitz,-0.79324305,12.415793,1606
since,-1.9554838,11.421711,1594
bill,-0.4289371,11.929213,1589
graham,-0.97481245,12.635905,1587
wrong,-1.9535863,12.538143,1586
send,-0.93611705,10.777428,1581
states,-0.85232335,12.1525955,1579
off,-0.8869506,11.9316845,1577
already,-2.1769762,11.030212,1576
nadler,-0.80321974,13.109751,1572
believe,-1.945069,11.447419,1562
tomfitton,-0.99099016,12.438881,1558
collins,-0.5909137,13.230264,1558
lawyers,-0.8055947,12.331722,1551
doing,-2.1853766,11.625863,1549
question,-1.5280707,11.781024,1548
hold,-1.1089935,10.653646,1545
foreign,-0.7244402,10.999293,1533
anyone,-1.9061036,11.834238,1525
national,-0.5805503,11.963729,1524
msnbc,-1.1459502,13.0707,1523
dem,-0.6411362,13.19933,1519
votes,-0.7832694,13.065771,1518
vindman,-0.211392,12.056668,1517
joe,-0.69838756,12.33897,1515
needs,-1.5609535,10.318321,1504
those,-1.5894288,11.214393,1504
days,-0.22167382,11.957459,1503
via,-1.0555403,13.46406,1488
night,-0.37713978,12.671471,1487
campaign,-0.68296057,11.957606,1482
times,-0.26657364,13.225845,1479
lindseygrahamsc,-2.0750997,12.501747,1467
crimes,-0.6419097,11.133527,1464
help,-0.9308144,10.862412,1457
forever,-2.271333,11.425879,1456
iran,-0.488006,11.443905,1454
democratic,-0.67781806,13.190729,1453
stop,-1.1904775,10.783443,1451
reason,-1.9934767,11.45308,1449
romney,-0.61888605,13.294713,1448
both,-0.94878983,10.819847,1432
give,-1.2415013,10.636185,1424
argument,-0.9163968,12.187077,1422
work,-1.2634853,10.887643,1420
report,-0.46113274,11.913741,1412
please,-1.8664458,12.206968,1394
real,-2.5638425,11.663402,1394
making,-2.5332308,12.1118,1390
year,-0.41309944,11.939088,1389
end,-1.979548,12.072203,1385
lawyer,-0.5817417,12.374562,1382
repmarkmeadows,-1.825112,13.557769,1375
public,-1.3906068,10.823462,1375
video,-1.3470904,13.206419,1369
removal,-0.49811974,12.647998,1369
calling,-0.73049843,12.5879545,1366
getting,-1.4937755,11.886409,1366
united,-1.3120972,12.70651,1364
look,-1.4997267,10.508037,1354
through,-2.2474763,12.03496,1351
leader,-1.1826683,12.993147,1350
left,-1.356099,11.604225,1343
show,-1.3124046,12.567332,1338
until,-1.1754217,10.5740795,1337
dbongino,-1.8039501,13.645043,1329
tell,-1.7520294,10.996805,1326
russia,-0.3368327,11.752768,1317
try,-1.1902792,10.683789,1315
something,-1.8317343,11.906131,1314
investigation,-0.40832987,11.62153,1312
remove,-1.4542501,11.02801,1312
thank,-2.055339,12.026464,1302
neal_katyal,-3.516292,13.149876,1294
anything,-1.8135898,11.955448,1289
everything,-1.9239422,11.969522,1286
glennkirschner,-3.472452,13.177252,1275
always,-1.8799607,11.801019,1270
calls,-0.67402977,12.769551,1269
point,-1.9895203,11.141048,1269
enough,-0.44045004,13.007447,1267
come,-1.017897,10.364696,1267
yes,-2.1416142,12.742459,1257
yet,-2.1032789,11.1061535,1254
coronavirus,-0.17930004,11.570947,1251
hand,-1.1296113,11.816867,1243
everyone,-1.9263971,12.024373,1240
lev,-0.26476476,11.928813,1240
article,-1.1414946,11.526379,1236
far,-2.1213934,11.833344,1234
its,-1.8638227,11.096752,1225
voters,-1.0175031,13.327361,1219
asked,-0.9047734,11.550303,1216
part,-1.6391233,11.7064085,1215
actually,-2.7357767,11.144127,1215
deal,-0.58964807,11.480042,1213
corruption,-0.42038843,11.470945,1211
starr,-0.7583797,12.450667,1211
tonight,-0.6161765,12.59552,1205
wh,-0.50028765,12.199655,1198
hearing,-0.932038,12.210938,1192
lies,-1.3603731,11.743635,1189
ago,-0.2841153,11.9309435,1186
former,-0.27343774,12.32234,1185
whistleblower,-0.28979337,12.085167,1184
moscowmitch,-1.6388487,12.420838,1175
hearings,-0.99143916,11.877371,1173
true,-2.009109,11.647099,1171
teapainusa,-3.534922,13.049855,1171
tried,-0.8923335,11.13129,1167
watching,-1.9724277,11.862031,1165
mr,-0.9944584,12.508403,1164
elected,-1.440186,11.264995,1163
sure,-2.1036935,11.745214,1161
wanted,-1.7035462,10.592306,1156
hope,-1.9704529,11.529702,1149
criminal,-0.8166087,11.167469,1140
knows,-2.1527,11.404095,1133
fake,-0.99814194,12.37972,1130
rwpusa,-3.560906,13.081909,1128
committee,-0.47649506,12.187406,1128
obstruction,-0.76306313,11.530966,1127
marklevinshow,-1.755221,13.525513,1125
failed,-1.4182264,12.093361,1122
start,-1.1580452,10.563277,1113
away,-1.2254392,10.863312,1110
cannot,-1.5727609,10.327128,1106
roberts,-0.7421206,12.173319,1100
took,-0.94113636,10.983028,1100
acquittal,-2.1349459,11.421541,1097
gopleader,-1.8104888,13.585531,1095
post,-0.2496039,13.247645,1094
